

=== New Session 2025-05-19 09:35:45 ===
2025-05-19 09:48:46 - 3 go (98%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:46 - 3 go (99%)
2025-05-19 09:48:47 - 3 go (99%)
2025-05-19 09:48:47 - 3 go (97%)
2025-05-19 09:48:47 - 3 go (98%)
2025-05-19 09:48:49 - 19 speed_limit_5kmph (82%)
2025-05-19 09:48:49 - 19 speed_limit_5kmph (79%)
2025-05-19 09:48:50 - 4 horn (80%)
2025-05-19 09:48:50 - 4 horn (79%)
2025-05-19 09:48:50 - 4 horn (83%)
2025-05-19 09:48:50 - 4 horn (84%)
2025-05-19 09:48:51 - 4 horn (83%)
2025-05-19 09:48:51 - 4 horn (87%)
2025-05-19 09:48:51 - 4 horn (84%)
2025-05-19 09:48:51 - 4 horn (79%)
2025-05-19 09:48:51 - 4 horn (78%)
2025-05-19 09:48:51 - 4 horn (84%)
2025-05-19 09:48:51 - 4 horn (88%)
2025-05-19 09:48:51 - 4 horn (89%)
2025-05-19 09:48:51 - 4 horn (88%)
2025-05-19 09:48:51 - 4 horn (89%)
2025-05-19 09:48:51 - 4 horn (89%)
2025-05-19 09:48:51 - 4 horn (91%)
2025-05-19 09:48:52 - 4 horn (90%)
2025-05-19 09:48:52 - 4 horn (91%)
2025-05-19 09:48:52 - 4 horn (92%)
2025-05-19 09:48:52 - 4 horn (92%)
2025-05-19 09:48:52 - 4 horn (95%)
2025-05-19 09:48:52 - 4 horn (94%)
2025-05-19 09:48:52 - 4 horn (95%)
2025-05-19 09:48:52 - 4 horn (94%)
2025-05-19 09:48:52 - 4 horn (95%)
2025-05-19 09:48:52 - 4 horn (95%)
2025-05-19 09:48:53 - 4 horn (94%)
2025-05-19 09:48:53 - 4 horn (95%)
2025-05-19 09:48:53 - 4 horn (95%)
2025-05-19 09:48:53 - 4 horn (95%)
2025-05-19 09:48:53 - 4 horn (79%)
2025-05-19 09:48:53 - 16 only_right (77%)
2025-05-19 09:48:54 - 16 only_right (78%)
2025-05-19 09:48:54 - 16 only_right (85%)
2025-05-19 09:48:54 - 16 only_right (84%)
2025-05-19 09:48:54 - 16 only_right (82%)
2025-05-19 09:48:54 - 3 go (91%)
2025-05-19 09:48:54 - 3 go (96%)
2025-05-19 09:48:54 - 3 go (98%)
2025-05-19 09:48:54 - 3 go (96%)
2025-05-19 09:48:55 - 3 go (97%)
2025-05-19 09:48:55 - 3 go (93%)
2025-05-19 09:48:55 - 3 go (92%)
2025-05-19 09:48:55 - 3 go (99%)
2025-05-19 09:48:55 - 3 go (99%)
2025-05-19 09:48:55 - 3 go (90%)
2025-05-19 09:48:55 - 3 go (85%)
2025-05-19 09:48:55 - 3 go (75%)
2025-05-19 09:48:56 - 3 go (84%)
2025-05-19 09:48:56 - 3 go (82%)
2025-05-19 09:48:56 - 3 go (94%)
2025-05-19 09:48:56 - 3 go (89%)
2025-05-19 09:48:57 - 3 go (94%)
2025-05-19 09:48:57 - 3 go (75%)
2025-05-19 09:48:57 - 3 go (79%)
2025-05-19 09:48:57 - 3 go (77%)
2025-05-19 09:48:57 - 3 go (94%)
2025-05-19 09:48:57 - 3 go (91%)
2025-05-19 09:48:57 - 3 go (91%)
2025-05-19 09:48:57 - 3 go (94%)
2025-05-19 09:48:57 - 3 go (88%)
2025-05-19 09:48:58 - 3 go (76%)
2025-05-19 09:48:58 - 3 go (78%)
2025-05-19 09:48:58 - 3 go (75%)
2025-05-19 09:48:58 - 3 go (83%)
2025-05-19 09:48:58 - 3 go (77%)
2025-05-19 09:48:58 - 3 go (78%)
2025-05-19 09:49:00 - 3 go (83%)
2025-05-19 09:49:00 - 3 go (80%)
2025-05-19 09:49:00 - 3 go (76%)
2025-05-19 09:49:00 - 3 go (75%)
